Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std
RandomForest (Bagging),42.29669248030357,1.0060101100689796,25.297171497396707,0.5637450830120089
Subagging,42.438862809721435,1.1667578851053013,25.63659375711679,0.6262082963177653
GradientBoosting,68.93708311144623,1.3636089591358385,48.866449734005926,1.003773541424166
